ID,Age,InfraredScanResults,VisualConditions,Pad,Loading,HealthIndex
130,39,0.47,Serious Defects,Serious Defects,23.68,1.3
131,24,0.05,Moderate Defects,Significant Defects,22.46,3.3
132,42,0.66,Serious Defects,Serious Defects,52.73,1.6
133,34,0.24,Significant Defects,Serious Defects,29.66,2.2
134,15,0.01,Minor Defects,Moderate Defects,39.25,4.9
135,16,0.01,Minor Defects,Moderate Defects,46.22,4.4
136,19,0.02,Moderate Defects,Moderate Defects,23.38,3.7
137,37,0.36,Serious Defects,Serious Defects,27.49,3
138,46,0.92,Serious Defects,Serious Defects,30.17,0.4
139,29,0.12,Significant Defects,Significant Defects,46.91,3.8
140,45,0.9,Serious Defects,Serious Defects,52.79,0.7
141,46,0.94,Serious Defects,Serious Defects,21.48,0.1
142,46,0.93,Serious Defects,Serious Defects,22.29,0.5
143,44,0.82,Serious Defects,Serious Defects,44.37,1.2
144,28,0.1,Significant Defects,Significant Defects,21.86,3.9
145,16,0.01,Minor Defects,Moderate Defects,18.42,4.1
146,46,0.92,Serious Defects,Serious Defects,28.96,0.4
147,31,0.16,Significant Defects,Significant Defects,32.04,2.1
148,28,0.1,Significant Defects,Significant Defects,42.84,3.7
149,16,0.01,Minor Defects,Moderate Defects,49.26,4.6
150,19,0.02,Moderate Defects,Moderate Defects,31.44,4
151,16,0.01,Minor Defects,Moderate Defects,42.9,4.5
152,15,0.01,Minor Defects,Moderate Defects,41.39,4.2
153,46,0.91,Serious Defects,Serious Defects,45.82,0.1
154,41,0.57,Serious Defects,Serious Defects,35.15,1.8
155,29,0.12,Significant Defects,Significant Defects,48.34,3.1
156,15,0.01,Minor Defects,Moderate Defects,24.35,4.8
157,33,0.21,Significant Defects,Serious Defects,20.2,2.3
158,16,0.01,Minor Defects,Moderate Defects,31.19,5
159,46,0.91,Serious Defects,Serious Defects,45.08,0.7
160,15,0.01,Minor Defects,Moderate Defects,44.14,4.1
161,46,1,Serious Defects,Serious Defects,54.29,0.8
162,15,0.01,Minor Defects,Moderate Defects,42.63,4.4
163,16,0.01,Minor Defects,Moderate Defects,21.9,4.1
164,23,0.04,Moderate Defects,Significant Defects,45.76,3.8
165,46,0.95,Serious Defects,Serious Defects,49.21,0.9
166,33,0.22,Significant Defects,Serious Defects,52.35,2.6
167,43,0.67,Serious Defects,Serious Defects,52.54,1.3
168,22,0.04,Moderate Defects,Moderate Defects,24.29,3.9
169,30,0.14,Significant Defects,Significant Defects,20.13,2.5
170,28,0.11,Moderate Defects,Significant Defects,31.48,4
171,43,0.7,Serious Defects,Serious Defects,34.08,1.4
172,15,0.01,Minor Defects,Moderate Defects,42.85,4.1
173,39,0.48,Serious Defects,Serious Defects,30.14,1.6
174,46,0.93,Serious Defects,Serious Defects,42.47,0.5
175,44,0.76,Serious Defects,Serious Defects,51.04,1.5
176,46,0.99,Serious Defects,Serious Defects,22.54,0.7
177,26,0.08,Significant Defects,Significant Defects,33.77,3.7
178,15,0.01,Minor Defects,Moderate Defects,51.06,4.4
179,34,0.24,Significant Defects,Serious Defects,34.35,2.1
180,25,0.06,Significant Defects,Significant Defects,24.73,4
181,23,0.04,Moderate Defects,Moderate Defects,46.89,3.3
182,46,0.91,Serious Defects,Serious Defects,31.15,0.1
183,42,0.64,Serious Defects,Serious Defects,49.43,1.4
184,42,0.62,Serious Defects,Serious Defects,50.16,1.4
185,46,0.94,Serious Defects,Serious Defects,36.92,0.7
186,16,0.01,Minor Defects,Moderate Defects,42.92,5
187,36,0.32,Serious Defects,Serious Defects,22.45,2.1
188,46,0.95,Serious Defects,Serious Defects,51.27,0.8
189,33,0.21,Significant Defects,Significant Defects,19.74,2.1
190,16,0.01,Minor Defects,Moderate Defects,52.65,4.1
191,15,0.01,Minor Defects,Moderate Defects,48.05,4.3
192,28,0.11,Moderate Defects,Significant Defects,29.83,3.6
193,42,0.64,Serious Defects,Serious Defects,43.68,1.6
194,38,0.41,Serious Defects,Serious Defects,30.68,1.9
195,23,0.04,Moderate Defects,Significant Defects,41.19,3.1
196,29,0.12,Significant Defects,Significant Defects,50.36,3.2
197,15,0.01,Minor Defects,Moderate Defects,39.01,4.7
198,36,0.31,Significant Defects,Serious Defects,44.75,2.8
199,45,0.88,Serious Defects,Serious Defects,29.59,1
200,36,0.31,Significant Defects,Serious Defects,47.68,2.5
201,15,0.01,Minor Defects,Moderate Defects,53.77,4.2
202,45,0.84,Serious Defects,Serious Defects,29.91,1.2
203,45,0.91,Serious Defects,Serious Defects,53.55,0.5
204,46,0.96,Serious Defects,Serious Defects,52.95,0.4
205,31,0.16,Significant Defects,Significant Defects,35.63,2.7
206,24,0.05,Moderate Defects,Significant Defects,30.38,3.2
207,29,0.12,Significant Defects,Significant Defects,25.59,3.9
208,32,0.18,Significant Defects,Serious Defects,46.43,2.1
209,46,0.94,Serious Defects,Serious Defects,38.68,0.3
210,33,0.2,Significant Defects,Serious Defects,41.94,2.7
211,46,1,Serious Defects,Serious Defects,38.96,0.4
212,26,0.07,Significant Defects,Significant Defects,40.47,3.4
213,15,0.01,Minor Defects,Moderate Defects,36.29,4.2
214,22,0.03,Moderate Defects,Significant Defects,55.49,3.6
215,28,0.1,Significant Defects,Significant Defects,37.84,3.8
216,40,0.5,Serious Defects,Serious Defects,54.34,1.4
217,18,0.01,Moderate Defects,Moderate Defects,36.1,4
218,19,0.02,Moderate Defects,Moderate Defects,55.85,3.6
219,45,0.91,Serious Defects,Serious Defects,42.96,0.6
220,36,0.3,Significant Defects,Serious Defects,22.17,2.5
221,46,0.96,Serious Defects,Serious Defects,39.71,0.4
222,37,0.36,Significant Defects,Serious Defects,43.48,2.9
223,15,0.01,Minor Defects,Moderate Defects,45.07,4.2
224,18,0.01,Moderate Defects,Moderate Defects,38.73,4
225,46,0.97,Serious Defects,Serious Defects,32.89,0.2
226,42,0.64,Serious Defects,Serious Defects,46.11,1.7
227,31,0.17,Significant Defects,Significant Defects,31.89,2.3
228,27,0.09,Significant Defects,Significant Defects,19.29,3.8
229,42,0.66,Serious Defects,Serious Defects,32.39,1.5
230,35,0.3,Serious Defects,Serious Defects,51.3,2.6
231,45,0.86,Serious Defects,Serious Defects,26.48,1.9
232,32,0.19,Significant Defects,Significant Defects,33.38,2.4
233,31,0.15,Significant Defects,Significant Defects,20.53,2.5
234,45,0.89,Serious Defects,Serious Defects,25.24,0.6
235,45,0.86,Serious Defects,Serious Defects,54.45,1.5
236,19,0.02,Moderate Defects,Moderate Defects,18.96,3.2
237,45,0.9,Serious Defects,Serious Defects,21.82,0.7
238,15,0.01,Minor Defects,Moderate Defects,18.48,4.1
239,40,0.5,Serious Defects,Serious Defects,21.87,1.8
240,23,0.04,Moderate Defects,Moderate Defects,18.93,3.6
241,38,0.42,Serious Defects,Serious Defects,31.76,1.4
242,15,0.01,Minor Defects,Moderate Defects,49.61,4.6
243,37,0.36,Serious Defects,Serious Defects,37.19,2.1
244,17,0.01,Moderate Defects,Moderate Defects,50.53,3.7
245,30,0.14,Significant Defects,Significant Defects,22.04,2.8
246,35,0.27,Significant Defects,Serious Defects,37.65,2.2
247,46,1,Serious Defects,Serious Defects,50.84,0.2
248,45,0.91,Serious Defects,Serious Defects,36.1,0.2
249,18,0.01,Moderate Defects,Moderate Defects,26.55,3.1
250,23,0.04,Moderate Defects,Significant Defects,32.68,3.4
251,41,0.6,Serious Defects,Serious Defects,34.72,1.7
252,39,0.47,Serious Defects,Serious Defects,23.15,1.2
253,15,0.01,Minor Defects,Moderate Defects,22.42,4.5
254,41,0.57,Serious Defects,Serious Defects,41.33,1.5
255,15,0.01,Minor Defects,Moderate Defects,18.21,4.6
256,39,0.47,Serious Defects,Serious Defects,35.75,1.3
257,16,0.01,Minor Defects,Moderate Defects,26.49,4.7
258,23,0.04,Moderate Defects,Significant Defects,18.05,3.9
259,16,0.01,Minor Defects,Moderate Defects,52.59,4.3
260,46,0.93,Serious Defects,Serious Defects,29.76,0.5
261,15,0.01,Minor Defects,Moderate Defects,22.4,5
262,15,0.01,Minor Defects,Moderate Defects,27.88,4.8
263,16,0.01,Moderate Defects,Moderate Defects,21.67,3.8
264,38,0.42,Serious Defects,Serious Defects,34.15,1.5
265,33,0.21,Significant Defects,Serious Defects,35.3,2.2
266,29,0.11,Significant Defects,Significant Defects,52.99,3.8
267,38,0.4,Serious Defects,Serious Defects,32.31,1.7
268,41,0.59,Serious Defects,Serious Defects,22.67,1.2
269,46,0.92,Serious Defects,Serious Defects,53.45,0.6
270,21,0.03,Moderate Defects,Moderate Defects,35.92,3.8
271,44,0.76,Serious Defects,Serious Defects,29.17,2
272,16,0.01,Minor Defects,Moderate Defects,44.13,4.9
273,15,0.01,Minor Defects,Moderate Defects,45.4,4.1
274,46,0.94,Serious Defects,Serious Defects,48.09,0.1
275,17,0.01,Moderate Defects,Moderate Defects,47.84,3.1
276,30,0.15,Significant Defects,Significant Defects,49.92,2.7
277,29,0.12,Significant Defects,Significant Defects,54.85,3.8
278,40,0.53,Serious Defects,Serious Defects,23.95,1.8
279,15,0.01,Minor Defects,Moderate Defects,46.38,4.4
280,16,0.01,Minor Defects,Moderate Defects,22.52,4.5
281,15,0.01,Minor Defects,Moderate Defects,23.95,4.1
282,46,0.99,Serious Defects,Serious Defects,31.58,0.4
283,16,0.01,Minor Defects,Moderate Defects,39.8,4.4
284,46,0.94,Serious Defects,Serious Defects,18.39,0.4
285,15,0.01,Minor Defects,Moderate Defects,19.19,4.9
286,46,0.96,Serious Defects,Serious Defects,20.48,0.9
287,36,0.31,Significant Defects,Serious Defects,20.57,2.9
288,43,0.73,Serious Defects,Serious Defects,32.13,1.1
289,46,0.93,Serious Defects,Serious Defects,41.46,0.9
290,38,0.41,Serious Defects,Serious Defects,45.21,1.3
291,42,0.65,Serious Defects,Serious Defects,39.14,1.5
292,29,0.13,Significant Defects,Significant Defects,34.06,2.1
293,33,0.2,Significant Defects,Serious Defects,47.83,2.9
294,39,0.47,Serious Defects,Serious Defects,24.33,1.4
295,40,0.52,Serious Defects,Serious Defects,54.26,1.2
296,44,0.81,Serious Defects,Serious Defects,40.79,2
297,15,0.01,Minor Defects,Moderate Defects,39.97,4.2
298,15,0.01,Minor Defects,Moderate Defects,30.97,4.5
299,15,0.01,Minor Defects,Moderate Defects,40.78,4.7
300,27,0.09,Significant Defects,Significant Defects,23.25,4
301,43,0.72,Serious Defects,Serious Defects,36.89,1.8
302,15,0.01,Minor Defects,Moderate Defects,25.23,5
303,46,0.98,Serious Defects,Serious Defects,24.08,0.8
304,16,0.01,Minor Defects,Moderate Defects,48.63,4.2
305,46,0.95,Serious Defects,Serious Defects,41.59,0.6
306,15,0.01,Minor Defects,Moderate Defects,39.28,4.6
307,38,0.41,Significant Defects,Serious Defects,54.38,2.4
308,30,0.13,Significant Defects,Significant Defects,34.03,2.1
309,16,0.01,Minor Defects,Moderate Defects,18.41,4.1
310,45,0.88,Serious Defects,Serious Defects,39.63,1
311,15,0.01,Minor Defects,Moderate Defects,49.07,4.8
312,15,0.01,Minor Defects,Moderate Defects,50.07,4.8
313,16,0.01,Minor Defects,Moderate Defects,48.51,4.8
314,15,0.01,Minor Defects,Moderate Defects,55.03,4.2
315,17,0.01,Moderate Defects,Moderate Defects,44.48,4
316,16,0.01,Minor Defects,Moderate Defects,24.58,4.3
317,16,0.01,Minor Defects,Moderate Defects,30.22,5
318,46,0.98,Serious Defects,Serious Defects,24.02,0.8
319,45,0.84,Serious Defects,Serious Defects,23.22,1.6
320,32,0.18,Significant Defects,Serious Defects,32.45,2.5
321,38,0.42,Serious Defects,Serious Defects,31.85,1.6
322,43,0.72,Serious Defects,Serious Defects,32.51,1.7
323,46,0.94,Serious Defects,Serious Defects,55.93,0.7
324,15,0.01,Minor Defects,Moderate Defects,49.24,5
325,46,0.95,Serious Defects,Serious Defects,37.53,0.4
326,45,0.9,Serious Defects,Serious Defects,52.11,0.3
327,18,0.01,Moderate Defects,Moderate Defects,49.81,3.9
328,45,0.9,Serious Defects,Serious Defects,51.14,0.4
329,20,0.02,Moderate Defects,Moderate Defects,37.4,3.4
330,23,0.04,Moderate Defects,Significant Defects,52.73,3.2
331,37,0.38,Serious Defects,Serious Defects,55.31,1.8
332,46,0.91,Serious Defects,Serious Defects,22.16,0.1
333,27,0.09,Moderate Defects,Significant Defects,24.23,3.9
334,15,0.01,Minor Defects,Moderate Defects,27.43,4.5
335,19,0.02,Moderate Defects,Moderate Defects,28.48,3.6
336,16,0.01,Minor Defects,Moderate Defects,44.72,4.8
337,44,0.79,Serious Defects,Serious Defects,39.52,1.6
338,28,0.1,Significant Defects,Significant Defects,51,3.6
339,35,0.27,Significant Defects,Serious Defects,46.33,2.9
340,25,0.06,Moderate Defects,Significant Defects,50.01,3.8
341,45,0.91,Serious Defects,Serious Defects,39.9,0.8
342,15,0.01,Minor Defects,Moderate Defects,33.67,4.2
343,15,0.01,Minor Defects,Moderate Defects,49.03,4.4
344,21,0.03,Moderate Defects,Moderate Defects,34.05,3.3
345,30,0.14,Significant Defects,Significant Defects,18.06,2.7
346,31,0.17,Significant Defects,Significant Defects,23,2.9
347,39,0.43,Significant Defects,Serious Defects,21.82,2.6
348,29,0.13,Significant Defects,Significant Defects,42.56,2.5
349,15,0.01,Minor Defects,Moderate Defects,34.3,4.8
350,43,0.67,Serious Defects,Serious Defects,31.42,1.5
351,37,0.36,Significant Defects,Serious Defects,28.75,2.5
352,34,0.23,Significant Defects,Serious Defects,33.4,2.5
353,15,0.01,Minor Defects,Moderate Defects,48.67,4.1
354,46,0.97,Serious Defects,Serious Defects,43.1,0.5
355,29,0.12,Significant Defects,Significant Defects,23.9,3.2
356,29,0.13,Significant Defects,Significant Defects,43.12,2.5
357,45,0.87,Serious Defects,Serious Defects,43.89,1.4
358,46,0.93,Serious Defects,Serious Defects,20.37,1
359,46,0.99,Serious Defects,Serious Defects,53.57,0.5
360,42,0.61,Serious Defects,Serious Defects,18.38,1.7
361,15,0.01,Minor Defects,Moderate Defects,55.66,4.6
362,46,0.91,Serious Defects,Serious Defects,39.75,0.8
363,15,0.01,Minor Defects,Moderate Defects,46.6,4.1
364,21,0.03,Moderate Defects,Moderate Defects,33.53,3.5
365,16,0.01,Minor Defects,Moderate Defects,45.6,4.1
366,46,0.91,Serious Defects,Serious Defects,33.33,0.8
367,26,0.07,Significant Defects,Significant Defects,35.16,3.5
368,25,0.06,Moderate Defects,Significant Defects,54.99,4
369,20,0.02,Moderate Defects,Moderate Defects,38.24,3.6
370,37,0.35,Significant Defects,Serious Defects,45.85,2.8
371,16,0.01,Minor Defects,Moderate Defects,27.26,4.7
372,15,0.01,Minor Defects,Moderate Defects,43.63,4.6
373,15,0.01,Minor Defects,Moderate Defects,54.56,4.9
374,16,0.01,Minor Defects,Moderate Defects,34.94,4.3
375,41,0.56,Serious Defects,Serious Defects,18.19,1.9
376,43,0.73,Serious Defects,Serious Defects,30.71,1.1
377,16,0.01,Minor Defects,Moderate Defects,33.35,4.5
378,34,0.25,Significant Defects,Serious Defects,20.89,2.5
379,42,0.64,Serious Defects,Serious Defects,42.74,1.4
380,46,0.96,Serious Defects,Serious Defects,18.48,0.2
381,28,0.1,Significant Defects,Significant Defects,45.75,3.4
382,32,0.19,Significant Defects,Serious Defects,36.88,2.8
383,28,0.11,Significant Defects,Significant Defects,42.48,3.9
384,30,0.14,Significant Defects,Serious Defects,48.05,2.8
385,18,0.01,Moderate Defects,Moderate Defects,44.48,3.3
386,36,0.32,Serious Defects,Serious Defects,40,2.1
387,45,0.9,Serious Defects,Serious Defects,42.11,0.1
388,39,0.46,Serious Defects,Serious Defects,50.21,1.1
389,15,0.01,Minor Defects,Moderate Defects,48.66,4.7
390,36,0.31,Serious Defects,Serious Defects,52.47,2.1
391,39,0.48,Serious Defects,Serious Defects,41.86,1.2
392,15,0.01,Minor Defects,Moderate Defects,33.66,4.7
393,33,0.23,Significant Defects,Serious Defects,18.1,2.8
394,16,0.01,Moderate Defects,Moderate Defects,51.3,3.5
395,16,0.01,Minor Defects,Moderate Defects,29.72,4.6
396,31,0.17,Significant Defects,Significant Defects,39.79,2.5
397,38,0.41,Serious Defects,Serious Defects,22.79,1.8
398,25,0.06,Moderate Defects,Significant Defects,43.63,3.7
399,15,0.01,Minor Defects,Moderate Defects,37.43,4.5
400,15,0.01,Minor Defects,Moderate Defects,26.82,4.5
401,33,0.23,Significant Defects,Serious Defects,37.04,2.7
402,42,0.63,Serious Defects,Serious Defects,24.84,1.1
403,45,0.91,Serious Defects,Serious Defects,42.48,0.1
404,45,0.84,Serious Defects,Serious Defects,29.3,1.3
405,40,0.49,Serious Defects,Serious Defects,52.48,1.1
406,21,0.03,Moderate Defects,Moderate Defects,35.55,3.9
407,41,0.58,Serious Defects,Serious Defects,51.18,1.9
408,36,0.32,Serious Defects,Serious Defects,22.03,2.6
409,38,0.39,Serious Defects,Serious Defects,39.85,1.9
410,19,0.02,Moderate Defects,Moderate Defects,24.53,3.1
411,33,0.23,Significant Defects,Serious Defects,19.29,2.5
412,39,0.44,Serious Defects,Serious Defects,40.09,1.2
413,42,0.63,Serious Defects,Serious Defects,36.6,1.2
414,16,0.01,Minor Defects,Moderate Defects,41.06,4.3
415,15,0.01,Minor Defects,Moderate Defects,50.29,5
416,44,0.82,Serious Defects,Serious Defects,52.38,1.2
417,44,0.78,Serious Defects,Serious Defects,27.07,1.1
418,15,0.01,Minor Defects,Moderate Defects,33.28,4.4
419,21,0.03,Moderate Defects,Moderate Defects,45.1,3.2
420,45,0.88,Serious Defects,Serious Defects,47.09,0.7
421,16,0.01,Moderate Defects,Moderate Defects,41.79,4
422,31,0.16,Significant Defects,Significant Defects,41.22,2.5
423,29,0.13,Significant Defects,Significant Defects,19.53,2.4
424,45,0.88,Serious Defects,Serious Defects,28.75,0.3
425,33,0.23,Significant Defects,Serious Defects,31.25,2.7
426,16,0.01,Minor Defects,Moderate Defects,39.98,4.3
427,45,0.91,Serious Defects,Serious Defects,27.45,0.2
428,46,0.99,Serious Defects,Serious Defects,20.16,0.1
429,40,0.51,Serious Defects,Serious Defects,51.56,1.7
430,38,0.4,Serious Defects,Serious Defects,21.19,1.2
431,46,0.96,Serious Defects,Serious Defects,51.66,0.8
432,24,0.05,Moderate Defects,Significant Defects,23.69,3.5
433,30,0.15,Significant Defects,Significant Defects,39.9,2.1
434,37,0.35,Serious Defects,Serious Defects,32.08,2.1
435,46,0.94,Serious Defects,Serious Defects,46.82,1
436,39,0.47,Serious Defects,Serious Defects,23.47,1.9
437,46,0.93,Serious Defects,Serious Defects,46.58,0.2
438,45,0.9,Serious Defects,Serious Defects,49.99,0.7
439,34,0.24,Significant Defects,Serious Defects,19.89,3
440,21,0.03,Moderate Defects,Moderate Defects,52.96,4
441,43,0.75,Serious Defects,Serious Defects,25.23,1.1
442,26,0.07,Moderate Defects,Significant Defects,30.85,3.1
443,16,0.01,Minor Defects,Moderate Defects,44.8,4.8
444,27,0.08,Moderate Defects,Significant Defects,20.83,3.8
445,15,0.01,Minor Defects,Moderate Defects,24.25,4.8
446,15,0.01,Minor Defects,Moderate Defects,42.88,5
447,28,0.1,Significant Defects,Significant Defects,41,3.8
448,34,0.25,Significant Defects,Serious Defects,29.07,2.2
449,35,0.3,Significant Defects,Serious Defects,29.1,2.2
450,30,0.13,Significant Defects,Significant Defects,49.38,2.5
451,41,0.57,Serious Defects,Serious Defects,20.36,1.3
452,15,0.01,Minor Defects,Moderate Defects,27.21,4.5
453,24,0.05,Moderate Defects,Significant Defects,51.22,3.2
454,34,0.26,Significant Defects,Serious Defects,41.02,2.4
455,23,0.04,Moderate Defects,Significant Defects,30.08,3.3
456,15,0.01,Minor Defects,Moderate Defects,25.75,4.3
457,24,0.05,Moderate Defects,Significant Defects,45.17,3.3
458,43,0.69,Serious Defects,Serious Defects,52.6,1.9
459,15,0.01,Minor Defects,Moderate Defects,36.74,4.3
